id_seq,sample_type,observer,location,time,sponge_type,over100,reads_persample,counts_persample,x_persample
sample.DBE_A_BLACK1,sponge,NA,Dafni Beach,Evening,Black,n,NA,NA,NA
sample.DBE_A_BLACK2,sponge,NA,Dafni Beach,Evening,Black,n,NA,NA,NA
sample.DBE_A_BLACK3,sponge,NA,Dafni Beach,Evening,Black,n,NA,NA,NA
sample.DBE_B_BLACK1,sponge,NA,Dafni Beach,Evening,Black,n,NA,NA,NA
sample.DBE_B_BLACK2,sponge,NA,Dafni Beach,Evening,Black,n,NA,NA,NA
sample.DBE_B_BLACK3,sponge,NA,Dafni Beach,Evening,Black,n,NA,NA,NA
sample.DBE_C_BLACK1,sponge,NA,Dafni Beach,Evening,Black,n,NA,NA,NA
sample.DBE_C_BLACK3,sponge,NA,Dafni Beach,Evening,Black,n,NA,NA,NA
sample.DBM_A_BLACK1,sponge,NA,Dafni Beach,Morning,Black,n,NA,NA,NA
sample.DBM_A_BLACK2,sponge,NA,Dafni Beach,Morning,Black,n,NA,NA,NA
sample.DBM_A_BLACK3,sponge,NA,Dafni Beach,Morning,Black,n,NA,NA,NA
sample.DBM_B_BLACK1,sponge,NA,Dafni Beach,Morning,Black,n,NA,NA,NA
sample.DBM_B_BLACK3,sponge,NA,Dafni Beach,Morning,Black,n,NA,NA,NA
sample.DBM_C_BLACK1et,sponge,NA,Dafni Beach,Morning,Black,n,NA,NA,NA
sample.DBM_C_BLACK2,sponge,NA,Dafni Beach,Morning,Black,n,NA,NA,NA
sample.DBM_C_BLACK3,sponge,NA,Dafni Beach,Morning,Black,n,NA,NA,NA
sample.DBE_B_BROWN1,sponge,NA,Dafni Beach,Evening,Brown,n,NA,NA,NA
sample.DBE_B_BROWN2,sponge,NA,Dafni Beach,Evening,Brown,n,NA,NA,NA
sample.DBE_B_BROWN4,sponge,NA,Dafni Beach,Evening,Brown,n,NA,NA,NA
sample.DBE_C_BROWN1,sponge,NA,Dafni Beach,Evening,Brown,n,NA,NA,NA
sample.DBE_C_BROWN2,sponge,NA,Dafni Beach,Evening,Brown,n,NA,NA,NA
sample.DBM_A_BROWN1,sponge,NA,Dafni Beach,Morning,Brown,n,NA,NA,NA
sample.DBM_A_BROWN3,sponge,NA,Dafni Beach,Morning,Brown,n,NA,NA,NA
sample.DBM_B_BROWN1,sponge,NA,Dafni Beach,Morning,Brown,n,NA,NA,NA
sample.DBM_B_BROWN3,sponge,NA,Dafni Beach,Morning,Brown,n,NA,NA,NA
sample.DBM_C_BROWN1et,sponge,NA,Dafni Beach,Morning,Brown,n,NA,NA,NA
sample.DBM_C_BROWN2,sponge,NA,Dafni Beach,Morning,Brown,n,NA,NA,NA
sample.DBM_C_BROWN3,sponge,NA,Dafni Beach,Morning,Brown,n,NA,NA,NA
sample.KE_A_BROWN2,sponge,NA,Korakonissi,Evening,Brown,n,NA,NA,NA
sample.KE_B_BROWN2,sponge,NA,Korakonissi,Evening,Brown,n,NA,NA,NA
sample.KE_C_BROWN2,sponge,NA,Korakonissi,Evening,Brown,n,NA,NA,NA
sample.KE_C_BROWN3,sponge,NA,Korakonissi,Evening,Brown,n,NA,NA,NA
sample.KM_C_BROWN2,sponge,NA,Korakonissi,Morning,Brown,n,NA,NA,NA
sample.KM_C_BROWN3,sponge,NA,Korakonissi,Morning,Brown,n,NA,NA,NA
sample.DBE_A_2eDNA,eDNA,NA,Dafni Beach,Evening,eDNA,n,NA,NA,NA
sample.DBE_A_3eDNA,eDNA,NA,Dafni Beach,Evening,eDNA,n,NA,NA,NA
sample.DBE_B_2eDNA,eDNA,NA,Dafni Beach,Evening,eDNA,n,NA,NA,NA
sample.DBE_B_3eDNA,eDNA,NA,Dafni Beach,Evening,eDNA,n,NA,NA,NA
sample.DBE_C_1eDNA,eDNA,NA,Dafni Beach,Evening,eDNA,n,NA,NA,NA
sample.DBE_C_3eDNA,eDNA,NA,Dafni Beach,Evening,eDNA,n,NA,NA,NA
sample.DBM_A_1eDNA,eDNA,NA,Dafni Beach,Morning,eDNA,n,NA,NA,NA
sample.DBM_A_2eDNA,eDNA,NA,Dafni Beach,Morning,eDNA,n,NA,NA,NA
sample.DBM_A_3eDNA,eDNA,NA,Dafni Beach,Morning,eDNA,n,NA,NA,NA
