DM_A,DM_B,DM_C,DE_A,DE_B,DE_C,KM_A,KM_B,KM_C,KE_A,KE_B,KE_C
0,1,1,0,1,3,7,0,0,5,0,0
0,0,25,0,0,0,100,100,100,100,100,100
0,0,0,2,1,0,0,0,0,0,0,0
100,100,70,60,53,100,50,50,3,6,0,6
0,0,1,0,2,1,1,3,2,0,3,1
2,0,0,4,4,3,5,0,0,0,0,0
7,8,6,3,15,6,10,4,5,8,5,6
0,0,0,0,2,0,0,2,0,0,0,0
0,0,0,1,1,0,0,3,0,1,1,0
1,0,0,0,3,0,3,6,0,3,1,0
0,1,2,0,0,2,0,0,0,1,0,0
0,0,0,5,5,0,0,0,0,0,0,0
0,1,0,0,0,0,17,1,4,12,3,3
0,1,6,0,1,4,1,3,5,1,2,1
0,0,0,2,0,0,0,0,0,0,0,0
52,55,17,13,8,5,15,3,4,6,4,2
0,0,0,0,0,1,1,2,0,0,0,0
4,0,20,1,0,0,6,10,1,21,7,30
0,0,0,0,0,0,2,0,1,1,2,0
0,0,0,0,0,0,0,0,0,0,0,7
0,2,2,2,1,5,0,0,2,2,1,0
11,11,6,9,7,10,4,6,1,4,3,5
8,9,3,4,13,1,0,0,3,0,0,0
8,9,4,6,3,3,0,8,0,6,21,1
1,0,0,1,0,0,1,3,0,0,1,0
13,55,10,7,12,15,66,15,62,56,57,54
