DM_A,DM_B,DM_C,DE_A,DE_B,DE_C,KM_A,KM_B,KM_C,KE_A,KE_B,KE_C
0,1,1,0,1,1,1,0,0,1,0,0
0,0,1,0,0,0,1,1,1,1,1,1
0,0,0,1,1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,0,1
0,0,1,0,1,1,1,1,1,0,1,1
1,0,0,1,1,1,1,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,1,0,0,1,0,0,0,0
0,0,0,1,1,0,0,1,0,1,1,0
1,0,0,0,1,0,1,1,0,1,1,0
0,1,1,0,0,1,0,0,0,1,0,0
0,0,0,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,1,1,1,1,1
0,1,1,0,1,1,1,1,1,1,1,1
0,0,0,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,1,1,1,0,0,0,0
1,0,1,1,0,0,1,1,1,1,1,1
0,0,0,0,0,0,1,0,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,1,1,1,0,0,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,0,1,0,0,0
1,1,1,1,1,1,0,1,0,1,1,1
1,0,0,1,0,0,1,1,0,0,1,0
1,1,1,1,1,1,1,1,1,1,1,1
